scene = InGame_hell_purple

[rewards]
	balls, 500
	gems, 1000
	power, 10
	luck, 10
	friendship, 10
	wealth, 10
	haste, 10
	peace, 10


[Commands]
	Evil_Zombie_Sword
	Evil_Zombie_Warhammer
	Evil_Zombie_Sword
	Evil_Zombie_Warhammer
	Evil_Chochinobake
	Evil_Chochinobake
	Evil_Chochinobake
	Evil_Ice
	Evil_Ninja
	Evil_Ice
	Evil_Ninja
	Evil_Ice
	Evil_Ninja
	Evil_Ice
	Evil_Ninja
	Evil_Ice
	Evil_Ninja
	Evil_Ice
	Evil_Ninja
	Evil_Chochinobake
	Evil_Chochinobake
	Evil_Farmer
	Evil_Farmer
	Evil_Farmer
	Evil_Farmer
	Evil_Farmer
	Evil_Farmer
	Evil_Farmer
	@bossalert
	Evil_Panzer_Charm
	Evil_Komusou
	Evil_Komusou
	Evil_Taiko_Drummer
	Evil_Onibaba
	Evil_Onibaba
	Evil_Onibaba
	Evil_Onibaba
	Evil_Zombie_Sword
	Evil_Zombie_Warhammer
	Evil_Wayundo_Fire
	Evil_Wayundo_Metal
	Evil_Wayundo_wood
	Evil_Zombie_Sword
	Evil_Zombie_Warhammer
	Evil_Tengu
	Evil_Tengu
	Evil_Tengu_air
	Evil_Tengu_air
	1,1
	Evil_Oni
	Evil_Oni
	Evil_Nobunaga
	Evil_Tengu
	Evil_Tengu
	Evil_Tengu_air
	Evil_Tengu
	Evil_Tengu_air
	Evil_Tengu
	Evil_Tengu_air
	Evil_Tengu
	Evil_Tengu_air
	2,2
	Evil_Chochinobake
	Evil_Chochinobake
	Evil_Chochinobake
